"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","Авторизация с неверным паролем","tests","2026-09-13","passed","2026-09-13","TestAuthorization","test_auth","",""
"","465","Проверка обязательности полей при регистрации","tests","2026-09-13","passed","2026-09-13","TestAccount","test_account","",""
"","1099","Создание аккаунта с валидными данными","tests","2026-09-13","passed","2026-09-13","TestAccount","test_account","",""
"","1859","Создание рецепта авторизованным пользователем","tests","2026-09-13","passed","2026-09-13","TestRecipe","test_recipe","",""
"","658","Вход в систему с валидными данными","tests","2026-09-13","passed","2026-09-13","TestAuthorization","test_auth","",""
"","290","Проверка обязательности полей при авторизации","tests","2026-09-13","passed","2026-09-13","TestAuthorization","test_auth","",""
"","283","Переход на страницу регистрации со страницы авторизации","tests","2026-09-13","passed","2026-09-13","TestAuthorization","test_auth","",""
"","577","Проверка обязательности полей при создании рецепта","tests","2026-09-13","passed","2026-09-13","TestRecipe","test_recipe","",""
"","1172","Добавление ингредиента в рецепт","tests","2026-09-13","passed","2026-09-13","TestRecipe","test_recipe","",""
"","594","Переход к созданию рецепта через меню","tests","2026-09-13","passed","2026-09-13","TestRecipe","test_recipe","",""
"","308","Переход на страницу авторизации со страницы регистрации","tests","2026-09-13","passed","2026-09-13","TestAccount","test_account","",""
